country,customer,deadline,description,number,price,url_addr
BLR,"РУП ""Гродноавтодор""",2019-07-19,"Работы по объекту капитального ремонта а/д Р-95 переустройство линий наружного освещения, кабельной, дождевой и ливневой канализации",2019-731446,120 957.73,http://www.icetrade.by/tenders/all/view/731446
BLR,25-я центральная районная поликлиника Московского района г.Минска,2019-07-23,выбор инженерной организации,2019-731445,0,http://www.icetrade.by/tenders/all/view/731445
BLR,"Государственное предприятие ""Гомельское областное УКС""",2019-07-29,Погрузчик универсальный,2019-731444,108 810.71,http://www.icetrade.by/tenders/all/view/731444
BLR,"РУП ""МИНСКЭНЕРГО""",2019-07-23,"Компенсаторы сальниковые ДУ250, ДУ300, ДУ700, ДУ1000",2019-731337,70 303.94,http://www.icetrade.by/tenders/all/view/731337
BLR,"РУП ""Гродноавтодор""",2019-07-19,"Устройство наружных сетей электроснабжения, связи и канализации",2019-731443,3 380.46,http://www.icetrade.by/tenders/all/view/731443
BLR,"Государственное предприятие ""Управляющая компания холдинга ""Агропромышленный холдинг Управления делами Президента Республики Беларусь""",2019-08-02,закупка кормовых добавок для ОАО «Василишки»,2019-731442,0,http://www.icetrade.by/tenders/all/view/731442
BLR,"ОАО ""Преснаки""",2019-07-24,Семена гибридов рапса озимого,2019-731336,18 000,http://www.icetrade.by/tenders/all/view/731336
BLR,"Республиканское производственное унитарное предприятие ""Гомельоблгаз""",2019-07-19,Строительство сетей газоснабжения,2019-731441,25 532,http://www.icetrade.by/tenders/all/view/731441
BLR,"РУП ""Производственное объединение ""Белоруснефть""",2019-08-02,"Выбор подрядной организации для строительства объекта «Строительство автозаправочной станции в д. Сосенка, Вилейского района, Минской области»",2019-731335,2 783 153.44,http://www.icetrade.by/tenders/all/view/731335
BLR,ОАО «Климовичский ликеро-водочный завод»,2019-07-22,закупка работ по  монтажу пожарной сигнализации,2019-731119,41 176,http://www.icetrade.by/tenders/all/view/731119
BLR,Белгидромет,2019-07-18,Выбор подрядчика на выполнение текущего ремонта системы вентиляции на объекте Заказчика,2019-731440,8 000,http://www.icetrade.by/tenders/all/view/731440
BLR,"Открытое акционерное общество ""Мозырьпромстрой""",2019-07-22,Закупка поильной установки ПЭ-4  с электрообогревом,2019-731334,32 552,http://www.icetrade.by/tenders/all/view/731334
BLR,"КУП ""Могилевоблдорстрой""",2019-07-22,выбор  субподрядной организации на выполнение строительно-монтажных работ,2019-731117,13 601.42,http://www.icetrade.by/tenders/all/view/731117
BLR,"Республиканское производственное унитарное предприятие ""Гомельоблгаз""",2019-07-19,Строительство сетей газоснабжения,2019-731439,16 734,http://www.icetrade.by/tenders/all/view/731439
BLR,"ОАО ""Могилевдрев""",2019-08-12,Сушильные камеры,2019-731333,310 000,http://www.icetrade.by/tenders/all/view/731333
